image_id,writer_id,strike_type
0748.png,999,SINGLE_LINE
0428.png,999,SINGLE_LINE
0226.png,999,SINGLE_LINE
0079.png,999,SINGLE_LINE
0135.png,999,SINGLE_LINE
0511.png,999,SINGLE_LINE
0777.png,999,SINGLE_LINE
0784.png,999,SINGLE_LINE
0490.png,999,SINGLE_LINE
0727.png,999,SINGLE_LINE
0205.png,999,SINGLE_LINE
0734.png,999,SINGLE_LINE
0324.png,999,SINGLE_LINE
0805.png,999,SINGLE_LINE
0601.png,999,SINGLE_LINE
0594.png,999,SINGLE_LINE
0043.png,999,SINGLE_LINE
0093.png,999,SINGLE_LINE
0108.png,999,DOUBLE_LINE
0360.png,999,DOUBLE_LINE
0785.png,999,DOUBLE_LINE
0602.png,999,DOUBLE_LINE
0665.png,999,DOUBLE_LINE
0436.png,999,DOUBLE_LINE
0058.png,999,DOUBLE_LINE
0080.png,999,DOUBLE_LINE
0749.png,999,DOUBLE_LINE
0429.png,999,DOUBLE_LINE
0227.png,999,DOUBLE_LINE
0283.png,999,DOUBLE_LINE
0016.png,999,DOUBLE_LINE
0087.png,999,DOUBLE_LINE
0346.png,999,DOUBLE_LINE
0658.png,999,DOUBLE_LINE
0051.png,999,DOUBLE_LINE
0561.png,999,DOUBLE_LINE
0298.png,999,DIAGONAL
0485.png,999,DIAGONAL
0305.png,999,DIAGONAL
0368.png,999,DIAGONAL
0017.png,999,DIAGONAL
0617.png,999,DIAGONAL
0541.png,999,DIAGONAL
0088.png,999,DIAGONAL
0736.png,999,DIAGONAL
0095.png,999,DIAGONAL
0137.png,999,DIAGONAL
0520.png,999,DIAGONAL
0443.png,999,DIAGONAL
0059.png,999,DIAGONAL
0200.png,999,DIAGONAL
0764.png,999,DIAGONAL
0743.png,999,DIAGONAL
0750.png,999,DIAGONAL
0618.png,999,CROSS
0208.png,999,CROSS
0801.png,999,CROSS
0004.png,999,CROSS
0285.png,999,CROSS
0417.png,999,CROSS
0493.png,999,CROSS
0458.png,999,CROSS
0702.png,999,CROSS
0355.png,999,CROSS
0187.png,999,CROSS
0397.png,999,CROSS
0011.png,999,CROSS
0451.png,999,CROSS
0145.png,999,CROSS
0039.png,999,CROSS
0264.png,999,CROSS
0096.png,999,CROSS
0258.png,999,ZIG_ZAG
0774.png,999,ZIG_ZAG
0682.png,999,ZIG_ZAG
0279.png,999,ZIG_ZAG
0577.png,999,ZIG_ZAG
0480.png,999,ZIG_ZAG
0661.png,999,ZIG_ZAG
0494.png,999,ZIG_ZAG
0425.png,999,ZIG_ZAG
0654.png,999,ZIG_ZAG
0788.png,999,ZIG_ZAG
0488.png,999,ZIG_ZAG
0536.png,999,ZIG_ZAG
0731.png,999,ZIG_ZAG
0174.png,999,ZIG_ZAG
0244.png,999,ZIG_ZAG
0076.png,999,ZIG_ZAG
0363.png,999,ZIG_ZAG
0161.png,999,WAVE
0126.png,999,WAVE
0119.png,999,WAVE
0273.png,999,WAVE
0516.png,999,WAVE
0585.png,999,WAVE
0287.png,999,WAVE
0413.png,999,WAVE
0048.png,999,WAVE
0620.png,999,WAVE
0259.png,999,WAVE
0753.png,999,WAVE
0357.png,999,WAVE
0301.png,999,WAVE
0760.png,999,WAVE
0203.png,999,WAVE
0055.png,999,WAVE
0196.png,999,WAVE
0064.png,999,SCRATCH
0288.png,999,SCRATCH
0783.png,999,SCRATCH
0337.png,999,SCRATCH
0420.png,999,SCRATCH
0092.png,999,SCRATCH
0071.png,999,SCRATCH
0489.png,999,SCRATCH
0607.png,999,SCRATCH
0440.png,999,SCRATCH
0183.png,999,SCRATCH
0545.png,999,SCRATCH
0628.png,999,SCRATCH
0049.png,999,SCRATCH
0148.png,999,SCRATCH
0295.png,999,SCRATCH
0733.png,999,SCRATCH
0056.png,999,SCRATCH
